date,index,price,lm_unemployment,lm_fed_rate,lm_cpi
8-May,168,2032.57,5,2.28,213.942
8-Jun,167,1837.09,5.4,1.98,215.208
8-Jul,166,1849.15,5.6,2,217.463
8-Aug,165,1872.54,5.8,2.01,219.016
8-Sep,164,1594.63,6.1,2,218.69
8-Oct,163,1334.78,6.1,1.81,218.877
8-Nov,162,1185.75,6.5,0.97,216.995
8-Dec,161,1211.65,6.8,0.39,213.153
9-Jan,160,1180.25,7.3,0.16,211.398
9-Feb,159,1116.99,7.8,0.15,211.933
9-Mar,158,1237.01,8.3,0.22,212.705
9-Apr,157,1394.33,8.7,0.18,212.495
9-May,156,1435.57,9,0.15,212.709
9-Jun,155,1477.25,9.4,0.18,213.022
9-Jul,154,1603.36,9.5,0.21,214.79
9-Aug,153,1625.19,9.5,0.16,214.726
9-Sep,152,1718.99,9.6,0.16,215.445
9-Oct,151,1667.13,9.8,0.15,215.861
9-Nov,150,1767.43,10,0.12,216.509
9-Dec,149,1860.31,9.9,0.12,217.234
10-Jan,148,1741.04,9.9,0.12,217.347
10-Feb,147,1818.68,9.8,0.11,217.488
10-Mar,146,1958.34,9.8,0.13,217.281
10-Apr,145,2000.63,9.9,0.16,217.353
10-May,144,1852.39,9.9,0.2,217.403
10-Jun,143,1739.14,9.6,0.2,217.29
10-Jul,142,1864,9.4,0.18,217.199
10-Aug,141,1767.43,9.4,0.18,217.605
10-Sep,140,1998.04,9.5,0.19,217.923
10-Oct,139,2124.45,9.5,0.19,218.275
10-Nov,138,2117.33,9.4,0.19,219.035
10-Dec,137,2217.86,9.8,0.19,219.59
11-Jan,136,2281.91,9.3,0.18,220.472
11-Feb,135,2350.99,9.1,0.17,221.187
11-Mar,134,2338.99,9,0.16,221.898
11-Apr,133,2404.08,9,0.14,223.046
11-May,132,2372.54,9.1,0.1,224.093
11-Jun,131,2325.07,9,0.09,224.806
11-Jul,130,2362.81,9.1,0.09,224.806
11-Aug,129,2241.01,9,0.07,225.395
11-Sep,128,2139.18,9,0.1,226.106
11-Oct,127,2360.08,9,0.08,226.597
11-Nov,126,2295.2,8.8,0.07,226.75
11-Dec,125,2277.83,8.6,0.08,227.169
12-Jan,124,2467.95,8.5,0.07,227.223
12-Feb,123,2623.1,8.3,0.08,227.842
12-Mar,122,2755.27,8.3,0.1,228.329
12-Apr,121,2723.68,8.2,0.13,228.807
12-May,120,2524.87,8.2,0.14,229.187
12-Jun,119,2615.72,8.2,0.16,228.713
12-Jul,118,2642.53,8.2,0.16,228.524
12-Aug,117,2772.24,8.2,0.16,228.59
12-Sep,116,2799.19,8.1,0.13,229.918
12-Oct,115,2647.92,7.8,0.14,231.015
12-Nov,114,2677.88,7.8,0.16,231.638
12-Dec,113,2660.93,7.7,0.16,231.249
13-Jan,112,2731.53,7.9,0.16,231.221
13-Feb,111,2738.58,8,0.14,231.679
13-Mar,110,2818.69,7.7,0.15,232.937
13-Apr,109,2887.44,7.5,0.14,232.282
13-May,108,2981.76,7.6,0.15,231.797
13-Jun,107,2909.6,7.5,0.11,231.893
13-Jul,106,3090.19,7.5,0.09,232.445
13-Aug,105,3073.81,7.3,0.09,232.9
13-Sep,104,3218.2,7.2,0.08,233.456
13-Oct,103,3377.73,7.2,0.08,233.544
13-Nov,102,3487.82,7.2,0.09,233.669
13-Dec,101,3592,6.9,0.08,234.1
14-Jan,100,3521.92,6.7,0.09,234.719
14-Feb,99,3696.1,6.6,0.07,235.288
14-Mar,98,3595.74,6.7,0.07,235.547
14-Apr,97,3582.02,6.7,0.08,236.028
14-May,96,3736.82,6.2,0.09,236.468
